Image;Average;Standard Deviation;
Adirondack-perfect_FF.csv;0,670586;0,242189;
Backpack-perfect_FF.csv;0,284164;0,270386;
Bicycle1-perfect_FF.csv;0,736926;0,195021;
Cable-perfect_FF.csv;0,376761;0,184955;
Classroom1-perfect_FF.csv;0,475523;0,214948;
Couch-perfect_FF.csv;0,485620;0,210148;
Flowers-perfect_FF.csv;0,356297;0,304186;
Jadeplant-perfect_FF.csv;0,335742;0,153368;
Mask-perfect_FF.csv;0,208162;0,217970;
Motorcycle-perfect_FF.csv;0,370365;0,257819;
Piano-perfect_FF.csv;0,434925;0,145445;
Pipes-perfect_FF.csv;0,275328;0,210386;
Playroom-perfect_FF.csv;0,432791;0,284539;
Playtable-perfect_FF.csv;0,320873;0,204907;
Recycle-perfect_FF.csv;0,507770;0,316753;
Shelves-perfect_FF.csv;0,432927;0,220429;
Shopvac-perfect_FF.csv;0,536386;0,288996;
Sticks-perfect_FF.csv;0,562891;0,221400;
Storage-perfect_FF.csv;0,212890;0,211522;
Sword1-perfect_FF.csv;0,367654;0,221799;
Sword2-perfect_FF.csv;0,565376;0,264244;
Umbrella-perfect_FF.csv;0,349922;0,240994;
Vintage-perfect_FF.csv;0,324659;0,138977;
